id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens,date,extracted_entities,content_category,enhanced_hate_score,virality_score,spike_day,engagement_rank,hate_intensity,hate_keywords_count,reply_chain_depth,spike_cause,spike_top_entities,spike_external_cause,contextual_relevance,is_reply,user_influence,mention_count,hashtag_count,url_count,conversation_size,conversation_centrality
1293564130633236480,ckdsing,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 15:04:56,A mob reportedly? Are you serious?,0,0,0,mob reportedly,"are, reportedly serious, mob reportedly, []",-0.3333333333333333,"[101, 11240, 7283, 102]",2020-08-12,"['[]', 'are', 'reportedly serious', 'mob reportedly']",general,0.0,0.0,0,0.2562893081761006,0.0,0,1,normal_activity,,no_spike,none,1,0.0,0,0,0,49,0.9607843137254902
1293396781925990400,_tamasik_,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 03:59:57,"If it were a Hindu mob, would you have mentioned the religion?",34,1,1,hindu mob mentioned religion,"hindu mob, mentioned religion, hindu, [('Hindu', mob would, 'NORP')], would mentioned",0.0,"[101, 7560, 11240, 3855, 4676, 102]",2020-08-12,"[""[('Hindu'"", "" 'NORP')]"", 'hindu mob', 'mentioned religion', 'hindu', 'mob would', 'would mentioned']",general,0.0,0.039,0,0.889937106918239,0.0,0,1,normal_activity,,no_spike,none,1,0.016460398842604137,0,0,0,49,0.9607843137254902
1293405932106309632,IAmAnky2201,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 04:36:19,"Look at these hypocrites.. if it was a bit related to hindus, they would not have hesitated to mention the religion and wud demonise whole community.",17,0,1,look hypocrites bit related hindus hesitated mention religion wud demonise community,"whole community, mention religion, religion wud, hypocrites bit, wud demonise, look hypocrites, look, bit related, related hindus, hesitated mention, demonise whole, would hesitated, hindus would, []",0.1,"[101, 2298, 1044, 22571, 10085, 28884, 2978, 3141, 18221, 9369, 5254, 4676, 8814, 2094, 5698, 5562, 2451, 102]",2020-08-12,"['[]', 'whole community', 'religion wud', 'wud demonise', 'look', 'bit related', 'related hindus', 'demonise whole', 'hesitated mention', 'mention religion', 'would hesitated', 'hindus would', 'hypocrites bit', 'look hypocrites']",general,0.0,0.019,0,0.8639937106918238,0.0,0,1,normal_activity,,no_spike,none,1,0.008030199421302068,0,0,0,49,0.9607843137254902
1293433242360532994,MJSadiq7,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 06:24:50,"#hangNaveen coz of his untolarablle post against our Master of universe.
#Bengaluru",1,2,0,hangnaveen coz untolarablle post master universe bengaluru,"bengaluru, master universe, universe bengaluru, hangnaveen, 'NORP')], #bengaluru, master, untolarablle post, coz untolarablle, #hangnaveen, [('Bengaluru', post master, hangnaveen coz",0.0,"[101, 6865, 2532, 3726, 2368, 2522, 2480, 19662, 8017, 7875, 6216, 2695, 3040, 5304, 8191, 14129, 102]",2020-08-12,"[""[('Bengaluru'"", "" 'NORP')]"", 'bengaluru', 'master universe', 'universe bengaluru', 'hangnaveen', '#bengaluru', 'master', 'untolarablle post', '#hangnaveen', 'coz untolarablle', 'post master', 'hangnaveen coz']",general,0.4,0.007,0,0.8160377358490566,0.4,2,1,normal_activity,,no_spike,none,1,0.0028782229715446418,0,2,0,49,0.9607843137254902
1293454537143926784,antiwoke47,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 07:49:27,When you don't get to write 'Hindutva' in a news reporting violence,2,1,0,dont write hindutva news reporting violence,"[('Hindutva', write news, hindutva, get write, news reporting, violence, reporting violence, when, 'NORP')]",0.0,"[101, 2123, 2102, 4339, 7560, 9189, 2050, 2739, 7316, 4808, 102]",2020-08-12,"[""[('Hindutva'"", "" 'NORP')]"", 'write news', 'hindutva', 'get write', 'news reporting', 'violence', 'reporting violence', 'when']",protest,0.2,0.005,0,0.7877358490566038,0.2,1,1,normal_activity,,no_spike,none,1,0.0020746649344568434,0,0,0,49,0.9607843137254902
1293394955046551553,codesattu,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 03:52:42,No catchy headlines. Ok Rule No. 1 of Secularism.,4,0,0,catchy headlines ok rule 1 secularism,"secularism, catchy headlines, ok rule no, 'CARDINAL')], [('1', rule secularism, headlines rule",0.5,"[101, 4608, 2100, 19377, 7929, 3627, 1015, 10644, 2964, 102]",2020-08-12,"[""[('1'"", "" 'CARDINAL')]"", 'secularism', 'catchy headlines', 'ok rule no', 'rule secularism', 'headlines rule']",general,0.0,0.004,0,0.7547169811320755,0.0,0,1,normal_activity,,no_spike,none,1,0.0016948091964920598,0,0,0,49,0.9607843137254902
1293421548364132352,Pratima_1130,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 05:38:22,"Such a neutral coverage? Why didn’t you guys something sensationalising for your headline? Or maybe I must be mistaken, because that’s what you regularly do when something blasphemous happen in the Nation.",3,0,0,neutral coverage didnt guys sensationalising headline maybe mistaken thats regularly blasphemous happen nation,"regularly something, neutral coverage, sensationalising headline, happen nation, blasphemous happen, such, guys something, something sensationalising, maybe must, why, nation, headline maybe, mistaken regularly, something blasphemous, must mistaken, [], coverage guys",0.0,"[101, 8699, 6325, 2134, 2102, 4364, 8742, 13911, 2075, 17653, 2672, 13534, 2008, 2015, 5570, 1038, 8523, 8458, 6633, 3560, 4148, 3842, 102]",2020-08-12,"['[]', 'regularly something', 'neutral coverage', 'sensationalising headline', 'something blasphemous', 'blasphemous happen', 'such', 'happen nation', 'guys something', 'something sensationalising', 'maybe must', 'why', 'nation', 'mistaken regularly', 'headline maybe', 'must mistaken', 'coverage guys']",general,0.0,0.003,0,0.7075471698113207,0.0,0,1,normal_activity,,no_spike,none,1,0.0012711068973690449,0,0,0,49,0.9607843137254902
1293632603732553728,Ashwathama_Says,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 19:37:01,"If you cant report the facts correctly.. kindly stop reporting.. 

dekh ye haal h.. @pravj12",1,1,1,report facts correctly kindly stop reporting dekh ye haal h pravj12,"facts correctly, correctly kindly, @pravj12, dekh haal, report facts, reporting dekh, kindly stop, stop reporting, cant report, []",0.6,"[101, 3189, 8866, 11178, 19045, 2644, 7316, 2139, 10023, 6300, 5292, 2389, 1044, 10975, 11431, 3501, 12521, 102]",2020-08-12,"['[]', 'facts correctly', 'correctly kindly', '@pravj12', 'dekh haal', 'report facts', 'reporting dekh', 'kindly stop', 'stop reporting', 'cant report']",general,0.0,0.006,0,0.8034591194968553,0.0,0,1,normal_activity,,no_spike,none,1,0.0024782229715446416,1,0,0,49,0.9607843137254902
1293407057899450368,RajatVe87094277,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 04:40:47,"No religion of mob , surely no chanting also , nice journalism",1,0,0,religion mob surely chanting nice journalism,"chanting also, also nice, nice journalism, surely chanting, mob surely, religion mob, []",0.175,"[101, 4676, 11240, 7543, 22417, 3835, 8083, 102]",2020-08-12,"['[]', 'chanting also', 'also nice', 'nice journalism', 'surely chanting', 'mob surely', 'religion mob']",general,0.0,0.001,0,0.5786163522012578,0.0,0,1,normal_activity,,no_spike,none,1,0.00042370229912301496,0,0,0,49,0.9607843137254902
1293414588575125504,RudraSmiling,1293393994622222336,1293393994622222336,thewire_in,2020-08-12 05:10:43,Siddharth Vardarajan really eats shit for food.,1,0,0,siddharth vardarajan really eats shit food,"really eats, siddharth vardarajan, vardarajan really, [('Siddharth', 'GPE')], eats shit, vardarajan, siddharth, shit food",0.0,"[101, 15765, 25632, 2705, 13075, 25329, 8405, 2428, 20323, 4485, 2833, 102]",2020-08-12,"[""[('Siddharth'"", "" 'GPE')]"", 'really eats', 'siddharth vardarajan', 'shit food', 'eats shit', 'vardarajan', 'siddharth', 'vardarajan really']",general,0.1,0.001,0,0.5786163522012578,0.1,0,1,normal_activity,,no_spike,none,1,0.00042370229912301496,0,0,0,49,0.9607843137254902
