id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments
1341864219789148161,JoeHouseholder,1341799128616099840,1341799128616099840,chbooksdc,2020-12-23T21:52:15.000Z,"I worked at a CBS affiliate in Birmingham, Alabama in the 80’s. I will always remember the angry caller who refused to hang up until I handed the phone to Dan Rather. He kept insisting since he watched Dan Rather on channel 42 then Dan Rather MUST be at channel 42. I tried...",174,5,2
1346220934823350274,digiphile,1346220934823350274,None,None,2021-01-04T22:24:17.000Z,"On a lighter note, our walk around Capitol Hill this morning yielded comic relief.

We found that the Grinch and Santa were still wicked “tired” after a long holiday, pigs flew in 2020, giraffes know how to be festive & stay safe, & the animatronic reindeer haven’t migrated yet.",4,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346262868912697346,NanInKansas,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:10:54.000Z,"Hate to break it to ya, but Santa and the Grinch are drunk. See that bottle?",0,0,1
1346263593323474944,digiphile,1346220934823350274,1346220934823350274,digiphile,2021-01-05T01:13:47.000Z,,1,0,1
1346174326568079364,washingtonpost,1346174326568079364,None,None,2021-01-04T19:19:04.000Z,"In viral ad, new member of Congress appears to walk Capitol Hill streets with a Glock",558,315,471
1346174704546177036,Mominsweats,1346174326568079364,1346174326568079364,washingtonpost,2021-01-04T19:20:34.000Z,This is the woman whose husband exposed himself to a minor. Well done GOP.,201,10,6
1346246606996328452,R_H_Ebright,1346174326568079364,1346174326568079364,washingtonpost,2021-01-05T00:06:17.000Z,Arrest the sociopath.,4,1,0
1346174907097427969,TenoreMario,1346174326568079364,1346174326568079364,washingtonpost,2021-01-04T19:21:23.000Z,Giving all these people all this free press with manicured pictures is a mistake you keep making... You can report on this without the free publicity.,47,2,1
1346251604270440449,lkarelli,1346174326568079364,1346174326568079364,washingtonpost,2021-01-05T00:26:09.000Z,VOTE Ossoff & Warnock tomorrow GA to end this national nightmare for good. Please vote for those of us who can't! A vote for Ossoff & Warnock means no more kill-all-bills McConnell & no more body bag company profiteers Loeffler & Perdue,22,6,1
1346176602229633024,J_Rambles_,1346174326568079364,1346174326568079364,washingtonpost,2021-01-04T19:28:07.000Z,I know this won't mean much coming from a European. But this is so fucking weird.,26,0,8
1346175511769141248,burientopteam,1346174326568079364,1346174326568079364,washingtonpost,2021-01-04T19:23:47.000Z,"""Boebert, the gun-toting owner of a gun-themed restaurant in Rifle, Colo ...""",16,0,4
1346175179995561985,CharlesResis,1346174326568079364,1346174326568079364,washingtonpost,2021-01-04T19:22:28.000Z,Our country is full of crazy people. The fact that crazy people were elected to Congress is also crazy.,9,0,1
