id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens
1536179561121333248,Jit_indian,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 02:52:02,"Protesting ? They were rioting and pelting stones and demanding sir tan se juda , all learned from same book which nupoor quoted",1,0,0,protesting rioting pelting stones demanding sir tan se juda learned book nupoor quoted,"[('tan se juda', 'PERSON')]",0.0,"[101, 21248, 11421, 2075, 21877, 7096, 2075, 6386, 9694, 2909, 9092, 7367, 18414, 2850, 4342, 2338, 16371, 24667, 2099, 9339, 102]"
1535966367668912130,chouhaan,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:44:53,What is pbuh,1,0,2,pbuh,[],0.0,"[101, 1052, 8569, 2232, 102]"
1536174667118936064,ashoknathan,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 02:32:36,First advice your people not disturb or throw stones … you stop the terror act .. this cos reaction from your action .. every wrong action your will equal and opposite reaction it’s law of science,1,0,0,advice people disturb throw stones stop terror act cos reaction action wrong action equal opposite reaction law science,"[('First', 'ORDINAL')]",-0.008333333333333337,"[101, 6040, 2111, 22995, 5466, 6386, 2644, 7404, 2552, 2522, 2015, 4668, 2895, 3308, 2895, 5020, 4500, 4668, 2375, 2671, 102]"
1535961593820827649,tweet_freely7,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:25:55,#NupurSharama real hero,0,0,0,nupursharama real hero,"[('NupurSharama', 'PERSON')]",0.2,"[101, 16371, 5311, 7377, 14672, 2613, 5394, 102]"
1536009817822613504,vishalbarge75,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 15:37:32,Tell your brothers to stop violence.... Cant you see what are they doing,0,0,0,tell brothers stop violence doing,[],0.0,"[101, 2425, 3428, 2644, 4808, 2725, 102]"
1536591424455872512,kwl_una,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-14 06:08:38,And what any STONE PELTERS & gun shots on Police.,0,0,1,stone pelters gun shots police,"[('STONE PELTERS &', 'ORG')]",0.0,"[101, 2962, 21877, 21928, 2015, 3282, 7171, 2610, 102]"
1536060547560796160,mishravinod202,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 18:59:07,"I am unable to understand it, why homes are getting bulldozed. They were only pelting stones peacefully. Our constitution give these rights to us. Right?",0,0,0,unable understand homes getting bulldozed pelting stones peacefully constitution rights right,[],0.008928571428571425,"[101, 4039, 3305, 5014, 2893, 7087, 3527, 5422, 21877, 7096, 2075, 6386, 21614, 4552, 2916, 2157, 102]"
1536266805110788096,arjunvenktesh,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 08:38:43,Using sophistry and getting rich. And einstein told Indians were stupid. Seeing your your would give it another thought,0,0,0,using sophistry getting rich einstein told indians stupid seeing thought,"[('einstein', 'PERSON'), ('Indians', 'NORP')]",-0.21249999999999997,"[101, 2478, 2061, 21850, 3367, 2854, 2893, 4138, 15313, 2409, 6505, 5236, 3773, 2245, 102]"
1535944496671625217,shyammeranaam,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:17:59,"So whats your expectations? Throw Nupur to the wolfs or give medals to rioters? Though its not your problem, you have been appeased for decades and now waking up!! This is not an Islamic state",0,0,0,whats expectations throw nupur wolfs medals rioters problem appeased decades waking islamic state,"[('Nupur', 'PERSON'), ('decades', 'DATE'), ('Islamic', 'NORP')]",0.0,"[101, 2054, 2015, 10908, 5466, 16371, 5311, 4702, 2015, 6665, 11421, 2545, 3291, 10439, 25063, 5109, 12447, 5499, 2110, 102]"
1536203769729363968,chandan_spal,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 04:28:14,"They were not protestors , they are called rioters.",0,0,0,protestors called rioters,[],0.0,"[101, 6186, 5668, 2170, 11421, 2545, 102]"
1536418689397837824,adilmullancp,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 18:42:15,"@indSupremeCourt
 @PMO
 : Is this justice.",0,0,0,indsupremecourt pmo justice,[],0.0,"[101, 27427, 6342, 28139, 4168, 13421, 7610, 2080, 3425, 102]"
1536033402033303552,yamar2189,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 17:11:15,"As you sow, so you shall reap ..,... Love Yogi ",0,0,0,sow shall reap love yogi,"[('Yogi', 'PERSON')]",0.5,"[101, 2061, 2860, 4618, 2128, 9331, 2293, 10930, 5856, 102]"
1536060303749697536,karanko90834123,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 18:58:09,"Protestby throwing stone,petrol bombs",0,0,0,protestby throwing stonepetrol bombs,[],0.0,"[101, 6186, 3762, 6886, 2962, 22327, 13153, 9767, 102]"
1535950509269721088,Surya20279088,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:41:52,fringe eliments of the indian society,0,0,0,fringe eliments indian society,"[('indian', 'NORP')]",0.0,"[101, 13548, 12005, 8163, 2796, 2554, 102]"
1536097253286326272,mohdsameer_786,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 21:24:59,"Agree  = Rt 

#StandWithAfreenFatima",0,0,0,agree rt standwithafreenfatima,[],0.0,"[101, 5993, 19387, 3233, 24415, 10354, 28029, 27753, 9581, 102]"
